filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.15,50,25,6,68.1,20.05580029,1.386074096,0.984271595
Cu–BPY–HFS,Matrimid 5218,250,2000,8,8,0.2,,35,3.9,0.21,34.71428571,1.374485597,0.780113447
MIL-53,Matrimid 5218,280,1440,8.5,8.5,0.05,,35,3,0.22,28.18181818,1.096774194,1.049088359
UiO-66,Matrimid 9725,150,1147,11,6,0.3,85,35,9,0.189102564,31.2,3.016949153,1.375
ZIF-8,6FDA-durene-PDMC.,,1350,11.6,3.4,0.33,70,35,3.5,30,15.61666667,0.05058698,1.084006708
Cu3BTC2,Matrimid 5218,10000,1071,8.6,8.6,0.3,42.5,35,10,0.556179775,17.8,1.767676768,1.292134831
ZIF-8,Matrimid 5218,,1860,11.6,3.4,0.15,40,35,3.45,0.25884058,34.5,2.799552072,1.017391304
ZIF-8,Matrimid 5218,,350,11.6,3.4,0.15,40,35,3.45,0.25884058,34.5,1.343784994,1.110144928
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,2.227272727,1.055023923
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,1.687804878,1.149588462
UiO-66,6FDD,324,537,11,6,0.4,50,35,3,5.3,31.13207547,2.427272727,0.952929293
ZIF-8,Matrimid 5218,60,1450,11.6,3.4,0.2,55,22,4,0.23,35.08695652,1.600991326,1.022855569
ZIF-8,PEBAX 1657,700,1506,11.6,3.4,0.02,95,35,11,4.1,17.09756098,1.681883024,1.253767345
UiO-66,PIM-1-TT,30,950,11,6,0.2,1,25,4,206.8965517,14.5,0.766666667,1.586206897
MIL-53,Matrimid 5218,280,1440,8.5,8.5,0.2,,35,3,0.22,28.18181818,2.503225806,0.573655914
Cu3BTC2,ODPA–TMPDA,400,1232,8.6,8.6,0.1,55,35,2,1.628542165,29.29,2.557651992,0.914988051
ZIF-8,Matrimid 5218,,1150,11.6,3.4,0.15,40,35,3.45,0.25884058,34.5,1.56774916,1.057971014
ZIF-7,PEI,55,290,7.5,3,0.05,400,3,2.03,18.9,3.78440367,2.980606061,0.355844535
MIL-53,PVDF,100,782,7.8,7.8,0.05,,25,0.5,0.043,21.27906977,1.209836066,1.083811475
ZIF-8,Matrimid 5218,300,1550,1.16,3.4,0.3,55,35,5,0.355,23.38028169,2.662650602,1.969252008
ZIF-8,PIM-1,40,1350,11.6,3.4,0.11,,35,1,310,24.38888889,1.096810934,0.789703872
ZIF-8,6FDA-Durene/DABA (9/1),80,1350,11.6,3.4,0.15,50,3,10,13.1,19.54198473,1.37109375,1.014764301
ZIF-8,6FDA-HAB DAM,50,1350,11.6,3.4,0.1,60,35,1,2.3,50.86956522,1.641025641,0.857808858
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,1.326829268,1.069239703
MIL-53,PSF Udel P-3500,600,1140,8,8,0.4,87.5,35,4,4.897959184,24,2.244897959,0.708333333
MIL-53,6FDA-ODA,125,745,7.8,7.8,0.15,,35,11.2,2.979166667,4.8,1,2.25
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.35,50,25,6,34,,4.324414716,
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,2.956521739,0.907736021
ZIF-7,PIM-1-TT,30,351,7.5,3,0.05,85,30,2,368.852459,12.2,0.955555556,1.024590164
MIL-53,PSF Udel P-3500,600,1140,8,8,0.16,87.5,35,4,4.897959184,24,1.204081633,1.375
Co4(μ4-O)(Me2pzba)3,Matrimid 5218,3000,1850,14,6,0.16,75,30,3,0.21,41.42857143,1.218390805,1.421455939
Fe-BTC,Matrimid 5218,50000,1500,8.5,5.5,0.3,61.5,35,5,0.354,25.19774011,1.502242152,1.281430655
UiO-66,6FDA-DAM,50,951,11,6,0.21,125,25,2,35.0877193,28.5,2.38,0.421052632
MIL-53,PSF,1000,1475,,6,0.2,75,35,3,0.211570248,24.2,1.005859375,1.095041322
ZIF-8,P84,30,1821,11.8,3.4,0.31,20,25,3,0.049,54.28571429,7.537593985,0.835615623
UiO-66,PIM-1-TT,150,1150,11,6,0.2,1,25,4,206.8965517,14.5,2.666666667,0.655172414
MIL-53,PI,1000,1475,6,6,0.25,75,35,3,0.236842105,38,0.914444444,0.943421053
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,2.422222222,0.782140035
KAUST-7,6FDA-Durene,80,248,4.7,4.7,0.33,50,35,2,31.45833333,24,1.345695364,1.333333333
ZIF-8,6FDA-Durene,50,1500,11.6,3.4,0.15,,30,3.5,66.57,7.030343999,3.132539903,1.610294837
Fe-BTC,PEBAX 1657,200,1500,8.5,5.8,0.25,,25,3,3.84,18.40364583,2.100466959,1.191402234
ZIF-8,PIM-1,40,1350,11.6,3.4,0.28,,35,1,310,24.38888889,3.883826879,0.641365907
UiO-66,6FDA-ODA,50,951,11,6,0.04,100,25,2,0.717948718,39,1,1
ZIF-11,Matrimid 5218,1000,1100,16.5,3,0.3,70,35,4,0.26,16.15384615,7.466666667,2.659360731
ZIF-8,PEGDA,200,1500,11.8,3.4,0.3,125,35,,6.5,20,5.538461538,0.85
MIL-53,Matrimid 5218,125,840,7.8,7.8,0.15,61.5,35,11.2,0.2,31,1.483870968,0.06744868
MIL-53,6FDA/ODA-DAM,125,840,7.8,7.8,0.22,61.5,35,11.2,2.3,23.52173913,0.924214418,0.442852742
ZIF-8,PIM-1,40,1350,11.6,3.4,0.28,,35,1,310,24.38888889,0.972665148,0.897844752
MIL-53,Matrimid 5218,280,1440,8.5,8.5,0.15,,35,3,0.22,28.18181818,2.00483871,1.837768817
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.1,50,25,2,65,22.58923077,1.281550092,0.84312506
ZIF-8,PEBAX-1074,90,1500,11.8,3.4,0.3,60,25,3,5.8,11.20689655,3,1.673076923
MOF-5,PEI,55,2387,8.67,8.67,0.05,35,25,3,0.09,18.66666667,1.369047619,1.026785714
UiO-66,Matrimid 9725,,940,11,6,0.3,85,35,9,0.189102564,31.2,3.016949153,1.195512821
ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.1,60,35,3.5,36.2,34.06629834,1.548248459,1.039825496
ZIF-8,PEBAX 1657,66,1637,11.6,3.4,8,13,30,2,39,3.897435897,1.743421053,3.399671053
ZIF-8,6FDA-durene-PDMC.,,1350,11.6,3.4,0.33,70,35,3.5,30,15.61666667,3.314621131,0.708757191
ZIF-8,Matrimid 5218,,1650,11.6,3.4,0.1,55,33,4.5,0.333333333,33,2,0.939393939
ZIF-8,PIM-1,40,1350,11.6,3.4,0.43,,35,1,310,24.38888889,1.435079727,0.738041002
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.2,50,25,2,42,8.357142857,2.433048433,0.80463019
MIL-53,PMP,110,1440,7.8,7.8,0.2,65,30,2,11.32,8.722614841,1.668827223,2.117839032
Cu3BDC2,PIM-1-TT,27.5,180,5.2,5.2,0.002,0.2,25,1,489,3,0.318983051,3.466666667
ZIF-8,Matrimid 5218,50,1350,11.6,3.4,0.3,40,35,2.6,0.24,41.66666667,1.5,0.923076923
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,3.413043478,0.939058371
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.15,50,25,2,65,22.58923077,1.321528298,0.797579753
MOF-74,PIM-1-TD,11000,1250,11,11,0.2,50,25,2,536,12.26865672,1.141423358,0.762846533
ZIF-8,PEBAX-1074,90,1500,11.8,3.4,0.05,60,25,3,5.8,11.20689655,1.261538462,1.240156454
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,2.142857143,0.901617251
ZIF-8,PEBAX-1074,90,1500,11.8,3.4,0.1,60,25,3,5.8,11.20689655,1.323076923,1.037006237
ZIF-8,Matrimid 5218,60,1450,11.6,3.4,0.3,55,22,4,0.23,35.08695652,3.558859975,0.70563603
ZIF-7,XLPEO,40,417,7.5,3,0.36,100,35,5,4.565217391,23,5.047619048,0.52173913
ZIF-67,PEBAX 1657,300,1465,11.6,3.3,0.02,95,35,11,4.1,17.09756098,1.576319544,1.154091094
UiO-66,Matrimid 5218,350,980,11,6,0.3,100,25,3,0.6,30,2.944444444,1.326666667
Cu3BTC2,Azide-PMP,100,1232,8.6,8.6,0.2,60,30,2,10.5,9.257142857,1.479423868,2.632872986
ZIF-8,Matrimid 5218,,1650,11.6,3.4,0.1,55,33,4.5,0.333333333,33,1.272727273,1.075757576
Cu–BPY–HFS,Matrimid 5218,250,2000,8,8,0.4,,35,3.9,0.21,34.71428571,2.065843621,0.735300272
ZIF-8,PEBAX-1074,90,1500,11.8,3.4,0.05,60,25,3,5.8,11.20689655,1.2,1.054545455
Cu3BTC2,PPO,6000,2262.2,8.6,8.6,0.1,30,30,10,4.394904459,15.7,1.246376812,1.796178344
UiO-66,6FDA-BisP,50,951,11,6,0.21,45,25,2,1,28,5.535714286,0.857142857
sod-ZMOF,Matrimid 5218,2000,33,1.6,9.6,0.1,47.5,30,4,0.15,37.26666667,1.348837209,0.96345515
MMIF,Matrimid 5218,45,420,3.35,3.35,0.1,40,35,4,0.19,35.89473684,1.063049853,1.080104129
ZIF-8,TBDA2-6FDA,45,1250,11.6,3.4,0.3,,35,1,8,35.625,3.705263158,0.570040486
Cu3BTC2,ODPA–TMPDA,400,1232,8.6,8.6,0.2,55,35,2,1.628542165,29.29,3.291404612,0.938886992
ZIF-8,PEBAX 1657,275,1029,11.6,3.4,0.1,80,25,1,4,19,1.276315789,1.021052632
ZIF-8,PEBAX-1074,90,1500,11.8,3.4,0.2,60,25,3,5.8,11.20689655,1.4,1.068421053
ZIF-8,Matrimid 5218,60,1450,11.6,3.4,0.2,55,22,4,0.23,35.08695652,1.605947955,1.191509773
ZIF-8,PEBAX 1657,700,1506,11.6,3.4,0.05,95,35,11,4.1,17.09756098,1.854493581,1.086203383
MIL-53,6FDA/ODA-DAM,125,840,7.8,7.8,0.3,61.5,35,11.2,1.7,18.94117647,1.816770186,1.930318323
